Bot1,Bot2,Win
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,no
22,201,no
22,201,no
22,201,yes
22,201,yes
22,201,yes
22,201,no
22,201,yes
